enabled,name,main_url
1,基本政策分科会,https://www.enecho.meti.go.jp/committee/council/basic_policy_subcommittee/
1,発電コスト検証ワーキンググループ,https://www.enecho.meti.go.jp/committee/council/basic_policy_subcommittee/#cost_wg
0,持続可能な電力システム構築小委員会,https://www.enecho.meti.go.jp/committee/council/basic_policy_subcommittee/#system_kouchiku
